Prodi,Jenjang,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8
Magister Pendidikan Islam,S2,7.695.000,-,-,-,-,-,-,-
Ilmu Al Qur'an dan Tafsir,S2,7.695.000,3.295.000,2.820.000,2.820.000,-,-,-,-
Pendidikan Agama Islam,S1,4.755.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.070.000
Pendidikan Bahasa Arab,S1,4.755.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.070.000
Pendidikan Guru MI,S1,4.755.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.070.000
Pendidikan Islam Anak Usia Dini,S1,4.755.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.070.000
Pendidikan Fisika,S1,4.755.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.070.000
Komunikasi dan Penyiaran Islam,S1,4.635.000,4.030.000,2.755.000,2.755.000,2.755.000,2.755.000,2.125.000,995.000
Ilmu Al Qur'an dan Tafsir,S1,4.635.000,4.030.000,2.755.000,2.755.000,2.755.000,2.755.000,2.125.000,995.000
Hukum Ekonomi Syariah,S1,4.555.000,3.825.000,2.675.000,2.675.000,2.675.000,2.675.000,2.045.000,995.000
Hukum Keluarga Islam,S1,4.555.000,3.825.000,2.675.000,2.675.000,2.675.000,2.675.000,2.045.000,995.000
Ekonomi,S1,5.055.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Perbankan Syariah,S1,5.055.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Akuntansi,S1,5.055.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Manajemen,S1,5.055.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Sastra Inggris,S1,4.875.000,4.150.000,2.875.000,2.875.000,2.875.000,2.875.000,2.200.000,1.100.000
Teknik Sipil,S1,6.045.000,5.020.000,3.745.000,3.745.000,3.745.000,3.745.000,3.070.000,1.500.000
Arsitektur,S1,6.045.000,5.020.000,3.745.000,3.745.000,3.745.000,3.745.000,3.070.000,1.500.000
Teknik Informatika,S1,6.045.000,5.020.000,3.745.000,3.745.000,3.745.000,3.745.000,3.070.000,1.500.000
Teknik Mesin,S1,4.815.000,3.970.000,2.950.000,2.950.000,2.950.000,2.950.000,2.320.000,1.400.000
Manajemen Informatika,D3,4.755.000,3.910.000,2.890.000,2.890.000,2.890.000,2.260.000,-,-
Keperawatan S1,S1,9.245.000,7.720.000,5.920.000,5.920.000,5.920.000,5.920.000,4.840.000,2.100.000
Keperawatan D3,D3,7.995.000,6.070.000,4.270.000,4.270.000,4.270.000,3.190.000,-,-
Kebidanan,D3,7.995.000,6.070.000,4.270.000,4.270.000,4.270.000,3.190.000,-,-
Profesi Ners,Profesi,12.420.000,11.145.000,-,-,-,-,-,-
Ilmu Politik,S1,4.815.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Ilmu Hukum,S1,4.815.000,4.270.000,2.995.000,2.995.000,2.995.000,2.995.000,2.320.000,1.100.000
Pendidikan Profesi Guru,Profesi,6.000.000,6.000.000,-,-,-,-,-,-
